publishedAt,user,comment,likeCount,comment (clean)
2023-06-02T09:58:39Z,Kamal Yusuf,Sebaiknya Bacawapres Bapak Ganjar Pranowo berasal dari kalangan ulama seperti yang dilakukan oleh Bapak Jokowi🙏👍❤,0,sebaiknya bacawapres bapak ganjar pranowo berasal dari kalangan ulama seperti yang dilakukan oleh bapak jokowi
2023-06-02T00:56:09Z,Oemar Husain,Knpa gue gk tertarik ma ni orang,0,kenapa gue enggak tertarik sama nih orang
2023-06-01T15:39:36Z,akhiri yanto,"<b>PETUGAS PARTAI</b><br><br><b>Menurut paham negara Demokrasi modern</b><br> <b>Partai Politik</b> adalah bagian tiga istitusi yang tidak bisa dipisahkan diluar 2 istitusi yang lain yaitu Pemilihan Umum dan Badan Perwakilan Rakyat.<br><br><b>Partai Politik adalah</b> organisasi yang bersifat nasional dan dibentuk oleh sekelompok warga negara  (kumpulan orang/individu)secara sukarela atas dasar kesamaan kehendak dan cita-cita atas dasar kesamaan idiologi untuk memperjuangkan dan membela kepentingan politik anggota, masyarakat, bangsa dan negara, serta memelihara keutuhan Negara Kesatuan Republik Indonesia .<br><br>Seorang kader partai yang terpilih menjadi pejabat publik melalui proses demokrasi yaitu pemilihan umum, membawa  mandat yang harus  diperjuangkan oleh dia sebagai kader partai sesuai dengan tujuan mendirikan sebuah partai politik.<br><b>Tujuan Partai Politik di Indonesia Secara Umum :</b><br>a. Mewujudkan cita-cita nasional bangsa Indonesia sebagaimana dimaksud dalam Pembukaan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.<br>b. Menjaga dan memelihara keutuhan Negara Kesatuan Republik Indonesia.<br>c. Mengembangkan kehidupan demokrasi berdasarkan pancasila dengan menjunjung tinggi kedaulatan rakyat dalam Negara Kesatuan Republik Indonesia, dan<br>d. Mewujudkan kesejahteraan bagi seluruh rakyat Indonesia.<br><br><b>Inilah HAKEKAT PETUGAS PARTAI</b><br>Partai berkuwajiban mengawal dan memastikan setiap kader partai yang terpilih menjadi pejabat  publik untuk menjalankan tujuan didirikannya partai yang sekaligus tujuan berbangsa dan bernegara diantaranya yaitu mewujudkan kesejahteraan bagi seluruh rakyat Indonesia dan menjaga keutuhan NKRI.<br>Dipartai politik setiap kader digembleng untuk disiapkan menjadi seorang PEMIMPIN BANGSA.<br><br>INILAH PARTAI POLITIK YANG SADAR DAN PAHAM BETUL APA SESUNGGUNYA TUJUAN MENDIRIKAN PARTAI POLITIK.<br><br><b>POLITIK INTELEKTUAL JAUH BERBAHAYA</b><br><br>ORASI POLITIK ANIES BASWEDAN SALAH SATUNYA BICARA <b>DEMOKRASI MODERN</b><br><br>ALERGI UNTUK MASUK MENJADI ANGGOTA PARTAI POLITIK SEBAGAI SALAH SATU  ISTITUSI PENTING DALAM DEMOKRASI MODERN.<br>TIDAK ALERGI UNTUK TERJUN DI POLITIK PRAKTIS.<br>( <i>GELANDANGAN POLITIK</i> )<br><br><b>INILAH BENTUK KESOMBONGAN DAN KEMUNAFIKAN INTELEKTUAL</b><br>MENGOLAH KATA UNTUK TUJUAN KEKUASAAN.<br><br>SANGAT BERBAHAYA UNTUK SEORANG CALON PEMIMPIN.<br><br><b>ORANG PALING DUNGU ADALAH YANG MENUHANKAN AKAL PIKIRAN</b><br><br>SELOGIS APAPUN PIKIRAN ADALAH PERSEPSI.<br>DISAMPAIKAN MENJADI OPINI.<br><br><b>BUKAN KEBENARAN MUTLAK</b><br><br><br><b>WASPADA PETUGAS ORMAS YANG DIBEKUKAN</b>",0,petugas partaimenurut paham negara demokrasi modern partai politik adalah bagian tiga istitusi yang tidak bisa dipisahkan diluar istitusi yang lain yaitu pemilihan umum dan badan perwakilan rakyat partai politik adalah organisasi yang bersifat nasional dan dibentuk oleh sekelompok warga negara kumpulan orang individu secara sukarela atas dasar kesamaan kehendak dan cita cita atas dasar kesamaan idiologi untuk memperjuangkan dan membela kepentingan politik anggota masyarakat bangsa dan negara serta memelihara keutuhan negara kesatuan republik indonesia seorang kader partai yang terpilih menjadi pejabat publik melalui proses demokrasi yaitu pemilihan umum membawa mandat yang harus diperjuangkan oleh dia sebagai kader partai sesuai dengan tujuan mendirikan sebuah partai politik tujuan partai politik di indonesia secara umum a mewujudkan cita cita nasional bangsa indonesia sebagaimana dimaksud dalam pembukaan undang undang dasar negara republik indonesia tahun b menjaga dan memelihara keutuhan negara kesatuan republik indonesia sih mengembangkan kehidupan demokrasi berdasarkan pancasila dengan menjunjung tinggi kedaulatan rakyat dalam negara kesatuan republik indonesia dandi mewujudkan kesejahteraan bagi seluruh rakyat indonesia inilah hakekat petugas partaipartai berkuwajiban mengawal dan memastikan setiap kader partai yang terpilih menjadi pejabat publik untuk menjalankan tujuan didirikannya partai yang sekaligus tujuan berbangsa dan bernegara diantaranya yaitu mewujudkan kesejahteraan bagi seluruh rakyat indonesia dan menjaga keutuhan nkri dipartai politik setiap kader digembleng untuk disiapkan menjadi seorang pemimpin bangsa inilah partai politik yang sadar dan paham betul apa sesunggunya tujuan mendirikan partai politik politik intelektual jauh berbahayaorasi politik anies baswedan salah satunya bicara demokrasi modernalergi untuk masuk menjadi anggota partai politik sebagai salah satu istitusi penting dalam demokrasi modern tidak alergi untuk terjun di politik praktis gelandangan politik inilah bentuk kesombongan dan kemunafikan intelektualmengolah kata untuk tujuan kekuasaan sangat berbahaya untuk seorang calon pemimpin orang paling dungu adalah yang menuhankan akal pikiranselogis apapun pikiran adalah persepsi disampaikan menjadi opini bukan kebenaran mutlakwaspada petugas ormas yang dibekukan
2023-06-01T11:01:38Z,Kamal Yusuf,Apabila Bapak Ganjar Pranowo menjadi pemimpin di indonesia maka semua provinsi-provinsi yang ada di indonesia akan menjadi provinsi-provinsi yang terbaik di indonesia. Pada akhirnya indonesia menjadi negara maju dan terbaik di dunia begitu pula disegani di dunia oleh karena sikap tegas dan kerasnya Bapak Ganjar Pranowo di dalam membela mati-matian kemajuan bangsa dan negara indonesia.,0,apabila bapak ganjar pranowo menjadi pemimpin di indonesia maka semua provinsi provinsi yang ada di indonesia akan menjadi provinsi provinsi yang terbaik di indonesia pada akhirnya indonesia menjadi negara maju dan terbaik di dunia begitu pula disegani di dunia oleh karena sikap tegas dan kerasnya bapak ganjar pranowo di dalam membela mati matian kemajuan bangsa dan negara indonesia
2023-06-01T07:55:09Z,M. Maulana Muhson,"Aslinya pak ganjar masih menjadi gubernur jateng gasi?.kok sudah bisa melakukan kegiatan kampanye kebeberapa daerah.ya walaupun dengan dalih silaturahmi bukan kampanye,tetapi kan beliau sudah meninggalkan tugasnya sbgai gubernur jateng utk menjalankan kampanye sbg calon presiden 2024. Apakah boleh sperti itu?",0,aslinya pak ganjar masih menjadi gubernur jateng gasi kok sudah bisa melakukan kegiatan kampanye kebeberapa daerah ya walaupun dengan dalih silaturahmi bukan kampanye tetapi kan beliau sudah meninggalkan tugasnya sebagai gubernur jateng untuk menjalankan kampanye sebagai calon presiden apakah boleh seperti itu
2023-06-01T02:57:10Z,Agman,Banyak orang mengatakan Anis jago bicara. Kelihatannya Ganjar lebih jago.,0,banyak orang mengatakan anis jago bicara kelihatannya ganjar lebih jago
2023-05-31T22:13:38Z,senksenk tv,Ttp aja yg nama nya petugas partai yah segala sesuatu titipan ketua partai lah....   Ada janji&quot; d mana di sepakati di situ 😂😂,0,tetap saja yang nama nya petugas partai ya segala sesuatu titipan ketua partai lah ada janji di mana di sepakati di situ 
2023-05-31T12:22:15Z,Aji Ajek,Ganjar siji ganjar kabeh🤟,0,ganjar siji ganjar kabeh
2023-05-31T07:17:55Z,Bung ElioneL,Siap menangkan pak ganjar pranowo semangat trs pak ganjar.,0,siap menangkan pak ganjar pranowo semangat terus pak ganjar
2023-05-31T04:20:37Z,Ari Juventini Arya,Pokoknya paten 2024 GAMA Ganjar Mahfuf❤,0,pokoknya paten gama ganjar mahfuf
